         17821262 function calls (15304465 primitive calls) in 61.145 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      667    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.014    0.014 _helper.py:1(<module>)
    11033    0.008    0.000    0.014    0.000 sre_parse.py:250(match)
    32039    0.014    0.000    0.014    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.014    0.014 subprocess.py:1352(_execute_child)
        1    0.000    0.000    0.014    0.014 _mstats_basic.py:1(<module>)
        1    0.013    0.013    0.013    0.013 {built-in method _winapi.CreateProcess}
     9034    0.013    0.000    0.013    0.000 {method 'expandtabs' of 'str' objects}
     1731    0.013    0.000    0.013    0.000 {built-in method __new__ of type object at 0x00007FFCC4204920}
        1    0.000    0.000    0.013    0.013 brill.py:1(<module>)
        1    0.000    0.000    0.013    0.013 discourse.py:1(<module>)
     1678    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap>:100(acquire)
        1    0.000    0.000    0.013    0.013 linalg.py:1(<module>)
        1    0.000    0.000    0.013    0.013 ElementTree.py:1(<module>)
     1017    0.006    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:172(_path_isabs)
      990    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.012    0.012 case.py:1(<module>)
  771/751    0.001    0.000    0.012    0.000 typing.py:306(inner)
        2    0.001    0.000    0.012    0.006 __init__.py:858(fromstring)
        2    0.000    0.000    0.012    0.006 data.py:1(<module>)
        1    0.000    0.000    0.012    0.012 destructive.py:1(<module>)
        1    0.000    0.000    0.012    0.012 panlex_lite.py:1(<module>)
        1    0.000    0.000    0.012    0.012 uarray.py:1(<module>)
     1678    0.010    0.000    0.012    0.000 <frozen importlib._bootstrap>:125(release)
        1    0.000    0.000    0.012    0.012 destructive.py:37(NLTKWordTokenizer)
        5    0.000    0.000    0.012    0.002 regex.py:453(_compile)
      878    0.006    0.000    0.012    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.012    0.012 _fitpack_py.py:1(<module>)
        1    0.000    0.000    0.011    0.011 contingency.py:1(<module>)
       14    0.000    0.000    0.011    0.001 dataclasses.py:1157(dataclass)
     1011    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:173(__exit__)
       57    0.001    0.000    0.011    0.000 dataclasses.py:412(_create_fn)
        2    0.000    0.000    0.011    0.006 shape_base.py:1(<module>)
        1    0.001    0.001    0.011    0.011 _codata.py:1(<module>)
       22    0.004    0.000    0.011    0.001 enum.py:180(__new__)
        1    0.000    0.000    0.011    0.011 _linprog_util.py:1(<module>)
        1    0.000    0.000    0.011    0.011 subprocess.py:1(<module>)
        1    0.000    0.000    0.011    0.011 numerictypes.py:1(<module>)
        1    0.000    0.000    0.011    0.011 toktok.py:1(<module>)
        1    0.000    0.000    0.011    0.011 toktok.py:28(ToktokTokenizer)
        2    0.011    0.005    0.011    0.005 __init__.py:756(document_fromstring)
       32    0.000    0.000    0.011    0.000 doccer.py:225(decorate)
        8    0.000    0.000    0.011    0.001 dataclasses.py:1334(make_dataclass)
        1    0.001    0.001    0.011    0.011 lapack.py:1(<module>)
        1    0.000    0.000    0.011    0.011 treebank.py:1(<module>)
    55481    0.011    0.000    0.011    0.000 {method 'is_dir' of 'nt.DirEntry' objects}
        1    0.000    0.000    0.011    0.011 scimath.py:1(<module>)
        1    0.000    0.000    0.011    0.011 npyio.py:1(<module>)
        4    0.000    0.000    0.011    0.003 regex.py:349(compile)
       77    0.001    0.000    0.011    0.000 css_parser.py:474(parse_attribute_selector)
        1    0.000    0.000    0.010    0.010 pickle.py:1(<module>)
        2    0.000    0.000    0.010    0.005 models.py:1(<module>)
        1    0.000    0.000    0.010    0.010 treebank.py:216(TreebankWordDetokenizer)
      861    0.007    0.000    0.010    0.000 inspect.py:2913(__init__)
        1    0.000    0.000    0.010    0.010 css_types.py:1(<module>)
     1537    0.006    0.000    0.010    0.000 inspect.py:2630(__init__)
       93    0.001    0.000    0.010    0.000 _docscrape.py:195(_read_to_next_section)
     7206    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
       12    0.000    0.000    0.010    0.001 enum.py:536(_convert_)
        1    0.002    0.002    0.010    0.010 __init__.py:594(rewrite_links)
        1    0.000    0.000    0.010    0.010 _ode.py:1(<module>)
       93    0.000    0.000    0.010    0.000 _docscrape.py:206(_read_sections)
        1    0.000    0.000    0.010    0.010 featstruct.py:2147(FeatStructReader)
      325    0.002    0.000    0.010    0.000 css_parser.py:1115(selector_iter)
      407    0.002    0.000    0.010    0.000 deprecation.py:9(wrap)
     2442    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        1    0.000    0.000    0.009    0.009 lsq_linear.py:1(<module>)
       15    0.001    0.000    0.009    0.001 _bunch.py:33(_make_tuple_bunch)
        1    0.000    0.000    0.009    0.009 hmac.py:1(<module>)
     1984    0.009    0.000    0.009    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.009    0.009 qmc.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _shgo.py:1(<module>)
        1    0.000    0.000    0.009    0.009 platform.py:1(<module>)
        2    0.000    0.000    0.009    0.004 _pep440.py:1(<module>)
        1    0.000    0.000    0.009    0.009 _compressed.py:1(<module>)
      391    0.003    0.000    0.009    0.000 inspect.py:1964(_signature_bound_method)
    19957    0.009    0.000    0.009    0.000 HelperClass.py:178(__getitem__)
      101    0.001    0.000    0.009    0.000 textwrap.py:422(dedent)
        1    0.000    0.000    0.009    0.009 _linprog_highs.py:1(<module>)
  328/327    0.002    0.000    0.009    0.000 porter.py:435(_step2)
        1    0.000    0.000    0.009    0.009 pathlib.py:1(<module>)
        1    0.000    0.000    0.009    0.009 message.py:1(<module>)
        2    0.000    0.000    0.008    0.004 polynomial.py:1(<module>)
        1    0.000    0.000    0.008    0.008 xmldocs.py:1(<module>)
      284    0.002    0.000    0.008    0.000 overrides.py:88(verify_matching_signatures)
     7769    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
    10415    0.006    0.000    0.008    0.000 sre_parse.py:161(__len__)
        1    0.000    0.000    0.008    0.008 xmldocs.py:81(XMLCorpusView)
      949    0.003    0.000    0.008    0.000 enum.py:986(__and__)
     4884    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        1    0.000    0.000    0.008    0.008 probability.py:1(<module>)
        4    0.005    0.001    0.008    0.002 _codata.py:1503(parse_constants_2002to2014)
        1    0.000    0.000    0.008    0.008 _remove_redundancy.py:1(<module>)
        1    0.000    0.000    0.008    0.008 least_squares.py:1(<module>)
     7586    0.006    0.000    0.008    0.000 sre_parse.py:173(append)
        1    0.000    0.000    0.008    0.008 equality_constrained_sqp.py:1(<module>)
        1    0.000    0.000    0.008    0.008 _base.py:1(<module>)
        1    0.000    0.000    0.008    0.008 bz2.py:1(<module>)
       72    0.008    0.000    0.008    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.008    0.008 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 decimal.py:1(<module>)
      192    0.006    0.000    0.007    0.000 HelperClass.py:66(getFieldStr)
        1    0.000    0.000    0.007    0.007 pydoc.py:1(<module>)
     6413    0.007    0.000    0.007    0.000 {method 'rpartition' of 'str' objects}
        3    0.000    0.000    0.007    0.002 _add_newdocs.py:1(<module>)
      472    0.006    0.000    0.007    0.000 css_types.py:40(__init__)
       30    0.001    0.000    0.007    0.000 _docscrape.py:218(_parse_param_list)
       43    0.004    0.000    0.007    0.000 inspect.py:744(cleandoc)
        1    0.000    0.000    0.007    0.007 maxent.py:1(<module>)
        1    0.000    0.000    0.007    0.007 lexicon.py:1(<module>)
     6817    0.005    0.000    0.007    0.000 HelperClass.py:18(addWeight)
        1    0.000    0.000    0.007    0.007 filedialog.py:1(<module>)
      139    0.005    0.000    0.007    0.000 __init__.py:504(iterlinks)
      322    0.001    0.000    0.007    0.000 function_base.py:475(add_newdoc)
       11    0.000    0.000    0.007    0.001 decorator.py:177(create)
